Crew,Duration Hours,Miles Flown (In Millions),Mission Date,Mission,Number of Missions,Shuttle
2,54,0.9,4/12/81,STS-1,1,Columbia
2,54,0.9,11/12/81,STS-2,1,Columbia
2,192,3.9,3/22/82,STS-3,1,Columbia
2,169,2.9,6/27/82,STS-4,1,Columbia
4,122,1.9,11/11/82,STS-5,1,Columbia
4,120,1.8,4/4/83,STS-6,1,Challenger
5,146,2.2,6/18/83,STS-7,1,Challenger
5,145,2.2,8/30/83,STS-8,1,Challenger
6,247,3.3,11/28/83,STS-9,1,Columbia
5,191,2.9,2/3/84,STS-41-B,1,Challenger
5,167,2.9,4/6/84,STS-41-C,1,Challenger
6,144,2.2,8/30/84,STS-41-D,1,Discovery
7,197,3.4,10/5/84,STS-41-G,1,Challenger
5,191,2.9,11/8/84,STS-51-A,1,Discovery
5,73,1.2,1/24/85,STS-51-C,1,Discovery
7,167,2.5,4/12/85,STS-51-D,1,Discovery
7,168,2.9,4/29/85,STS-51-B,1,Challenger
7,169,2.5,6/17/85,STS-51-G,1,Discovery
7,190,2.9,7/29/85,STS-51-F,1,Challenger
5,170,2.5,8/27/85,STS-51-I,1,Discovery
5,97,1.7,10/3/85,STS-51-J,1,Atlantis
8,168,2.5,10/30/85,STS-61-A,1,Challenger
7,165,2.5,11/26/85,STS-61-B,1,Atlantis
7,146,2.2,1/12/86,STS-61-C,1,Columbia
7,0,0,1/28/86,STS-51-L,1,Challenger
5,97,1.4,9/29/88,STS-26,1,Discovery
5,105,1.8,12/2/88,STS-27,1,Atlantis
5,119,1.8,3/13/89,STS-29,1,Discovery
5,96,1.5,5/4/89,STS-30,1,Atlantis
5,121,2.1,8/8/89,STS-28,1,Columbia
5,119,1.8,10/18/89,STS-34,1,Atlantis
5,120,2,11/22/89,STS-33,1,Discovery
5,261,4.5,1/9/90,STS-32,1,Columbia
5,106,1.8,2/28/90,STS-36,1,Atlantis
5,121,2.1,4/24/90,STS-31,1,Discovery
5,98,1.7,10/6/90,STS-41,1,Discovery
5,117,2,11/15/90,STS-38,1,Atlantis
7,215,3.7,12/2/90,STS-35,1,Columbia
5,143,2.5,4/5/91,STS-37,1,Atlantis
7,199,3.5,4/28/91,STS-39,1,Discovery
7,218,3.3,6/5/91,STS-40,1,Columbia
5,213,3.7,8/2/91,STS-43,1,Atlantis
5,128,2.2,9/12/91,STS-48,1,Discovery
6,166,2.9,11/24/91,STS-44,1,Atlantis
7,193,3.3,1/22/92,STS-42,1,Discovery
7,214,3.3,3/24/92,STS-45,1,Atlantis
7,213,4,5/7/92,STS-49,1,Endeavour
7,331,5.8,6/25/92,STS-50,1,Columbia
7,191,3.3,7/31/92,STS-46,1,Atlantis
7,190,3.3,9/12/92,STS-47,1,Endeavour
6,236,4.1,10/22/92,STS-52,1,Columbia
5,175,3,12/2/92,STS-53,1,Discovery
5,143,2.5,1/13/93,STS-54,1,Endeavour
5,222,3.9,4/8/93,STS-56,1,Discovery
7,239,4.2,4/26/93,STS-55,1,Columbia
6,239,4.1,6/21/93,STS-57,1,Endeavour
5,236,4.1,9/12/93,STS-51,1,Discovery
7,336,5.8,10/18/93,STS-58,1,Columbia
7,259,4.4,12/2/93,STS-61,1,Endeavour
6,174,3.4,2/3/94,STS-60,1,Discovery
5,335,5.8,3/4/94,STS-62,1,Columbia
6,269,4.7,4/9/94,STS-59,1,Endeavour
7,353,6.1,7/8/94,STS-65,1,Columbia
6,262,4.6,9/9/94,STS-64,1,Discovery
6,269,4.7,9/30/94,STS-68,1,Endeavour
6,262,4.6,11/3/94,STS-66,1,Atlantis
6,198,3,2/3/95,STS-63,1,Discovery
7,399,6.9,3/2/95,STS-67,1,Endeavour
7,235,4.1,6/27/95,STS-71,1,Atlantis
5,214,3.7,7/13/95,STS-70,1,Discovery
5,260,4.5,9/7/95,STS-69,1,Endeavour
7,381,6.6,10/20/95,STS-73,1,Columbia
5,196,3.4,11/12/95,STS-74,1,Atlantis
6,214,3.7,1/11/96,STS-72,1,Endeavour
7,377,6.5,2/22/96,STS-75,1,Columbia
6,221,3.8,3/22/96,STS-76,1,Atlantis
6,240,4.1,5/19/96,STS-77,1,Endeavour
7,405,7,6/20/96,STS-78,1,Columbia
6,243,3.9,9/16/96,STS-79,1,Atlantis
5,423,7,11/19/96,STS-80,1,Columbia
6,244,3.9,1/12/97,STS-81,1,Atlantis
7,239,3.8,2/11/97,STS-82,1,Discovery
7,95,1.5,4/4/97,STS-83,1,Columbia
7,221,3.6,5/15/97,STS-84,1,Atlantis
7,376,6.2,7/1/97,STS-94,1,Columbia
6,284,4.7,8/7/97,STS-85,1,Discovery
7,259,4.2,9/25/97,STS-86,1,Atlantis
6,376,6.5,11/19/97,STS-87,1,Columbia
7,211,3.6,1/22/98,STS-89,1,Endeavour
7,381,6.4,4/17/98,STS-90,1,Columbia
7,235,3.8,6/2/98,STS-91,1,Discovery
7,213,3.6,10/29/98,STS-95,1,Discovery
6,283,4.7,12/4/98,STS-88,1,Endeavour
7,235,4.1,5/27/99,STS-96,1,Discovery
5,118,1.8,7/23/99,STS-93,1,Columbia
7,191,3.3,12/19/99,STS-103,1,Discovery
6,269,4.7,2/11/00,STS-99,1,Endeavour
7,237,5.1,5/19/00,STS-101,1,Atlantis
7,283,4.9,9/8/00,STS-106,1,Atlantis
7,309,5.3,10/11/00,STS-92,1,Discovery
5,259,4.5,11/30/00,STS-97,1,Endeavour
5,309,5.4,2/7/01,STS-98,1,Atlantis
7,307,5.4,3/8/01,STS-102,1,Discovery
7,285,4.9,4/19/01,STS-100,1,Endeavour
5,306,5.3,7/12/01,STS-104,1,Atlantis
7,285,4.9,8/10/01,STS-105,1,Discovery
7,283,4.8,12/5/01,STS-108,1,Endeavour
7,262,3.9,3/1/02,STS-109,1,Columbia
7,259,4.5,4/8/02,STS-110,1,Atlantis
7,332,5.8,6/5/02,STS-111,1,Endeavour
6,259,4.5,10/7/02,STS-112,1,Atlantis
7,330,5.7,11/23/02,STS-113,1,Endeavour
7,382,6.6,1/16/03,STS-107,1,Columbia
7,333,5.8,7/26/05,STS-114,1,Discovery
7,306,5.3,7/4/06,STS-121,1,Discovery
6,283,4.9,9/9/06,STS-115,1,Atlantis
7,309,5.3,12/9/06,STS-116,1,Discovery
7,332,5.8,6/8/07,STS-117,1,Atlantis
7,306,5.3,8/8/07,STS-118,1,Endeavour
7,362,6.2,10/23/07,STS-120,1,Discovery
7,306,5.3,2/7/08,STS-122,1,Atlantis
7,378,6.6,3/11/08,STS-123,1,Endeavour
7,330,5.7,5/31/08,STS-124,1,Discovery
7,380,6.6,11/14/08,STS-126,1,Endeavour
7,307,5.3,3/15/09,STS-119,1,Discovery
7,309,5.3,5/11/09,STS-125,1,Atlantis
7,376,6.5,7/15/09,STS-127,1,Endeavour
7,333,5.7,8/28/09,STS-128,1,Discovery
6,259,4.5,11/16/09,STS-129,1,Atlantis
6,330,5.7,2/8/10,STS-130,1,Endeavour
7,363,6.2,4/5/10,STS-131,1,Discovery
6,282,4.9,5/14/10,STS-132,1,Atlantis
6,307,5.3,2/24/11,STS-133,1,Discovery
6,378,6.5,5/16/11,STS-134,1,Endeavour
4,306,5.3,7/8/11,STS-135,1,Atlantis
